cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
16,point-uniform,off,compute,NA,477.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/point-uniform/off/compute.log
16,point-uniform,on,compute,NA,101.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/point-uniform/on/compute.log
16,point-zipf,off,compute,NA,387.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/point-zipf/off/compute.log
16,point-zipf,on,compute,NA,65.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/point-zipf/on/compute.log
16,range-uniform,off,compute,NA,634.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/range-uniform/off/compute.log
16,range-uniform,on,compute,NA,541.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/range-uniform/on/compute.log
16,range-zipf,off,compute,NA,554.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/range-zipf/off/compute.log
16,range-zipf,on,compute,NA,697.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_16MB/range-zipf/on/compute.log
32,point-uniform,off,compute,NA,394.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/point-uniform/off/compute.log
32,point-uniform,on,compute,NA,97.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/point-uniform/on/compute.log
32,point-zipf,off,compute,NA,275.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/point-zipf/off/compute.log
32,point-zipf,on,compute,NA,78.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/point-zipf/on/compute.log
32,range-uniform,off,compute,NA,757.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/range-uniform/off/compute.log
32,range-uniform,on,compute,NA,1000.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/range-uniform/on/compute.log
32,range-zipf,off,compute,NA,617.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/range-zipf/off/compute.log
32,range-zipf,on,compute,NA,761.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_32MB/range-zipf/on/compute.log
64,point-uniform,off,compute,NA,476.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/point-uniform/off/compute.log
64,point-uniform,on,compute,NA,86.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/point-uniform/on/compute.log
64,point-zipf,off,compute,NA,341.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/point-zipf/off/compute.log
64,point-zipf,on,compute,NA,52.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/point-zipf/on/compute.log
64,range-uniform,off,compute,NA,903.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/range-uniform/off/compute.log
64,range-uniform,on,compute,NA,787.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/range-uniform/on/compute.log
64,range-zipf,off,compute,NA,902.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/range-zipf/off/compute.log
64,range-zipf,on,compute,0.182,481.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_64MB/range-zipf/on/compute.log
128,point-uniform,off,compute,3.540,55.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/point-uniform/off/compute.log
128,point-uniform,on,compute,2.458,33.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/point-uniform/on/compute.log
128,point-zipf,off,compute,5.652,47.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/point-zipf/off/compute.log
128,point-zipf,on,compute,2.909,28.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/point-zipf/on/compute.log
128,range-uniform,off,compute,0.217,424.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/range-uniform/off/compute.log
128,range-uniform,on,compute,0.230,439.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/range-uniform/on/compute.log
128,range-zipf,off,compute,0.223,426.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/range-zipf/off/compute.log
128,range-zipf,on,compute,0.145,391.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181112/cache_128MB/range-zipf/on/compute.log
