cache_mb,dir_threads,workload,offload,role,node_tput_mops,ops,p99_us,index_mb,log
64,4,point-uniform,off,compute,0.5681,49999992,92.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/point-uniform/off/compute.log
64,4,point-uniform,on,compute,1.2343,49999992,31.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/point-uniform/on/compute.log
64,4,point-zipf,off,compute,0.9998,49999992,88.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/point-zipf/off/compute.log
64,4,point-zipf,on,compute,1.4082,49999992,28.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/point-zipf/on/compute.log
64,4,range-uniform,off,compute,0.0345,49999992,1000.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/range-uniform/off/compute.log
64,4,range-uniform,on,compute,0.2155,49999992,181.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/range-uniform/on/compute.log
64,4,range-zipf,off,compute,0.0666,49999992,1000.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/range-zipf/off/compute.log
64,4,range-zipf,on,compute,0.2848,49999992,145.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_64MB/range-zipf/on/compute.log
32,4,point-uniform,off,compute,0.5847,49999992,97.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/point-uniform/off/compute.log
32,4,point-uniform,on,compute,1.2984,49999992,30.50,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/point-uniform/on/compute.log
32,4,point-zipf,off,compute,1.1234,49999992,85.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/point-zipf/off/compute.log
32,4,point-zipf,on,compute,1.4923,49999992,28.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/point-zipf/on/compute.log
32,4,range-uniform,off,compute,0.0426,49999992,909.50,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/range-uniform/off/compute.log
32,4,range-uniform,on,compute,0.2074,49999992,190.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/range-uniform/on/compute.log
32,4,range-zipf,off,compute,0.0804,49999992,865.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/range-zipf/off/compute.log
32,4,range-zipf,on,compute,0.2808,49999992,150.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_32MB/range-zipf/on/compute.log
16,4,point-uniform,off,compute,0.5375,49999992,92.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/point-uniform/off/compute.log
16,4,point-uniform,on,compute,1.1361,49999992,32.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/point-uniform/on/compute.log
16,4,point-zipf,off,compute,0.9258,49999992,89.50,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/point-zipf/off/compute.log
16,4,point-zipf,on,compute,1.2985,49999992,30.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/point-zipf/on/compute.log
16,4,range-uniform,off,compute,0.0351,49999992,943.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/range-uniform/off/compute.log
16,4,range-uniform,on,compute,0.1792,49999992,201.50,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/range-uniform/on/compute.log
16,4,range-zipf,off,compute,0.0631,49999992,887.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/range-zipf/off/compute.log
16,4,range-zipf,on,compute,0.2624,49999992,166.00,NA,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112339/cache_16MB/range-zipf/on/compute.log
