cache_mb,dir_threads,workload,offload,role,node_tput_mops,ops,p99_us,index_mb,cache_leaf,total_cache_mb,inner_cache_mb,leaf_cache_mb,leaf_hit_pct
512,4,point-uniform,off,compute,2.3072,29999968,23.00,NA,0,512,512,0,NA
512,4,point-uniform,off,compute,2.6081,29999968,22.00,NA,1,512,256,256,12.256
512,4,point-uniform,on,compute,2.3064,29999968,23.50,NA,0,512,512,0,NA
512,4,point-uniform,on,compute,2.6082,29999968,22.00,NA,1,512,256,256,12.251
512,4,point-zipf,off,compute,2.8565,29999968,20.00,NA,0,512,512,0,NA
512,4,point-zipf,off,compute,3.9991,29999968,16.50,NA,1,512,256,256,69.850
512,4,point-zipf,on,compute,2.8565,29999968,21.00,NA,0,512,512,0,NA
512,4,point-zipf,on,compute,3.9991,29999968,17.00,NA,1,512,256,256,69.975
512,4,range-uniform,off,compute,0.4999,29999968,81.00,NA,0,512,512,0,NA
512,4,range-uniform,off,compute,0.3947,29999968,116.50,NA,1,512,256,256,12.233
512,4,range-uniform,on,compute,0.4958,29999968,81.00,NA,0,512,512,0,NA
512,4,range-uniform,on,compute,0.3947,29999968,116.50,NA,1,512,256,256,12.235
512,4,range-zipf,off,compute,0.4999,29999968,81.00,NA,0,512,512,0,NA
512,4,range-zipf,off,compute,0.5940,29999968,90.50,NA,1,512,256,256,58.877
512,4,range-zipf,on,compute,0.4958,29999968,81.00,NA,0,512,512,0,NA
512,4,range-zipf,on,compute,0.5998,29999968,90.00,NA,1,512,256,256,58.428
256,4,point-uniform,off,compute,2.3072,29999968,23.50,NA,0,256,256,0,NA
256,4,point-uniform,off,compute,2.4995,29999968,23.00,NA,1,256,128,128,5.998
256,4,point-uniform,on,compute,2.3072,29999968,23.50,NA,0,256,256,0,NA
256,4,point-uniform,on,compute,2.4988,29999968,23.00,NA,1,256,128,128,6.002
256,4,point-zipf,off,compute,2.8565,29999968,20.00,NA,0,256,256,0,NA
256,4,point-zipf,off,compute,3.7492,29999968,17.50,NA,1,256,128,128,63.490
256,4,point-zipf,on,compute,2.8565,29999968,20.00,NA,0,256,256,0,NA
256,4,point-zipf,on,compute,3.9990,29999968,17.00,NA,1,256,128,128,63.567
256,4,range-uniform,off,compute,0.4957,29999968,81.00,NA,0,256,256,0,NA
256,4,range-uniform,off,compute,0.3845,29999968,118.50,NA,1,256,128,128,6.119
256,4,range-uniform,on,compute,0.4958,29999968,81.00,NA,0,256,256,0,NA
256,4,range-uniform,on,compute,0.3845,29999968,118.50,NA,1,256,128,128,6.123
256,4,range-zipf,off,compute,0.4999,29999968,80.50,NA,0,256,256,0,NA
256,4,range-zipf,off,compute,0.5713,29999968,96.00,NA,1,256,128,128,52.388
256,4,range-zipf,on,compute,0.4958,29999968,80.50,NA,0,256,256,0,NA
256,4,range-zipf,on,compute,0.5659,29999968,96.50,NA,1,256,128,128,52.620
128,4,point-uniform,off,compute,2.3066,29999968,23.50,NA,0,128,128,0,NA
128,4,point-uniform,off,compute,0.6449,29999968,129.00,NA,1,128,64,64,3.136
128,4,point-uniform,on,compute,2.3072,29999968,23.50,NA,0,128,128,0,NA
128,4,point-uniform,on,compute,1.7139,29999968,33.50,NA,1,128,64,64,4.256
128,4,point-zipf,off,compute,2.8565,29999968,20.00,NA,0,128,128,0,NA
128,4,point-zipf,off,compute,1.2497,29999968,120.00,NA,1,128,64,64,59.605
128,4,point-zipf,on,compute,2.8565,29999968,20.00,NA,0,128,128,0,NA
128,4,point-zipf,on,compute,3.1572,29999968,25.50,NA,1,128,64,64,78.237
128,4,range-uniform,off,compute,0.4958,29999968,81.00,NA,0,128,128,0,NA
128,4,range-uniform,off,compute,0.0661,29999968,910.00,NA,1,128,64,64,86.212
128,4,range-uniform,on,compute,0.4958,29999968,81.00,NA,0,128,128,0,NA
128,4,range-uniform,on,compute,0.2419,29999968,234.00,NA,1,128,64,64,3.622
128,4,range-zipf,off,compute,0.4957,29999968,81.00,NA,0,128,128,0,NA
128,4,range-zipf,off,compute,0.1290,29999968,858.00,NA,1,128,64,64,83.652
128,4,range-zipf,on,compute,0.4999,29999968,80.50,NA,0,128,128,0,NA
128,4,range-zipf,on,compute,0.4285,29999968,179.50,NA,1,128,64,64,64.192
64,4,point-uniform,off,compute,0.6315,29999968,129.50,NA,0,64,64,0,NA
64,4,point-uniform,off,compute,0.6121,29999968,134.00,NA,1,64,32,32,1.569
64,4,point-uniform,on,compute,1.7139,29999968,33.00,NA,0,64,64,0,NA
64,4,point-uniform,on,compute,1.6663,29999968,34.00,NA,1,64,32,32,2.167
64,4,point-zipf,off,compute,1.0907,29999968,130.50,NA,0,64,64,0,NA
64,4,point-zipf,off,compute,1.2243,29999968,119.50,NA,1,64,32,32,55.064
64,4,point-zipf,on,compute,2.7267,29999968,23.00,NA,0,64,64,0,NA
64,4,point-zipf,on,compute,3.1573,29999968,25.00,NA,1,64,32,32,75.144
