cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
16,point-uniform,off,memory,1.262,81.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/point-uniform/off/memory.log
16,point-uniform,on,memory,2.587,29.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/point-uniform/on/memory.log
16,point-zipf,off,memory,NA,69.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/point-zipf/off/memory.log
16,point-zipf,on,memory,NA,21.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/point-zipf/on/memory.log
16,range-uniform,off,memory,NA,186.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/range-uniform/off/memory.log
16,range-uniform,on,memory,NA,177.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/range-uniform/on/memory.log
16,range-zipf,off,memory,NA,177.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/range-zipf/off/memory.log
16,range-zipf,on,memory,NA,145.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_16MB/range-zipf/on/memory.log
32,point-uniform,off,memory,NA,66.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_32MB/point-uniform/off/memory.log
32,point-uniform,on,memory,NA,36.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_32MB/point-uniform/on/memory.log
32,point-zipf,off,memory,2.520,71.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_32MB/point-zipf/off/memory.log
32,point-zipf,on,memory,4.003,22.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_232716/cache_32MB/point-zipf/on/memory.log
