cache_mb,workload,offload,role,node_tput_mops,ops,p99_us,log
16,point-uniform,off,memory,0.5586,49999992,82.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/point-uniform/off/memory.log
16,point-uniform,on,memory,1.1492,49999992,28.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/point-uniform/on/memory.log
16,point-zipf,off,memory,0.8694,49999992,77.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/point-zipf/off/memory.log
16,point-zipf,on,memory,0.8619,49999992,38.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/point-zipf/on/memory.log
16,range-uniform,off,memory,0.1754,9999984,200.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/range-uniform/off/memory.log
16,range-uniform,on,memory,0.1503,9999984,201.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/range-uniform/on/memory.log
16,range-zipf,off,memory,0.1724,9999984,187.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/range-zipf/off/memory.log
16,range-zipf,on,memory,0.1613,9999984,190.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_16MB/range-zipf/on/memory.log
32,point-uniform,off,memory,0.6756,49999992,78.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/point-uniform/off/memory.log
32,point-uniform,on,memory,1.1234,49999992,29.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/point-uniform/on/memory.log
32,point-zipf,off,memory,1.2656,49999992,64.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/point-zipf/off/memory.log
32,point-zipf,on,memory,1.6390,49999992,22.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/point-zipf/on/memory.log
32,range-uniform,off,memory,0.1550,9999984,202.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/range-uniform/off/memory.log
32,range-uniform,on,memory,0.1575,9999984,201.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/range-uniform/on/memory.log
32,range-zipf,off,memory,0.2174,9999984,156.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/range-zipf/off/memory.log
32,range-zipf,on,memory,0.1653,9999984,191.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_32MB/range-zipf/on/memory.log
64,point-uniform,off,memory,0.6249,49999992,81.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/point-uniform/off/memory.log
64,point-uniform,on,memory,1.0751,49999992,28.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/point-uniform/on/memory.log
64,point-zipf,off,memory,1.0987,49999992,68.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/point-zipf/off/memory.log
64,point-zipf,on,memory,1.0751,49999992,33.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/point-zipf/on/memory.log
64,range-uniform,off,memory,0.1515,9999984,201.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/range-uniform/off/memory.log
64,range-uniform,on,memory,0.1562,9999984,194.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/range-uniform/on/memory.log
64,range-zipf,off,memory,0.1724,9999984,185.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/range-zipf/off/memory.log
64,range-zipf,on,memory,0.1653,9999984,196.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_64MB/range-zipf/on/memory.log
128,point-uniform,off,memory,1.8864,49999992,17.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/point-uniform/off/memory.log
128,point-uniform,on,memory,2.3805,49999992,14.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/point-uniform/on/memory.log
128,point-zipf,off,memory,2.3805,49999992,15.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/point-zipf/off/memory.log
128,point-zipf,on,memory,2.1735,49999992,15.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/point-zipf/on/memory.log
128,range-uniform,off,memory,0.1575,9999984,172.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/range-uniform/off/memory.log
128,range-uniform,on,memory,0.1575,9999984,173.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/range-uniform/on/memory.log
128,range-zipf,off,memory,0.1639,9999984,166.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/range-zipf/off/memory.log
128,range-zipf,on,memory,0.1666,9999984,167.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_000525/cache_128MB/range-zipf/on/memory.log
