cache_mb,dir_threads,workload,offload,role,node_tput_mops,ops,p99_us,index_mb,log
16,4,point-uniform,off,memory,0.5524,49999992,90.00,16.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_16MB/point-uniform/off/memory.log
16,4,point-uniform,on,memory,1.3886,49999992,27.00,16.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_16MB/point-uniform/on/memory.log
16,4,point-zipf,off,memory,0.9614,49999992,87.00,16.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_16MB/point-zipf/off/memory.log
16,4,point-zipf,on,memory,1.4923,49999992,29.00,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_16MB/point-zipf/on/memory.log
32,4,point-uniform,off,memory,0.5779,49999992,100.50,32.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_32MB/point-uniform/off/memory.log
32,4,point-uniform,on,memory,1.6390,49999992,25.00,32.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_32MB/point-uniform/on/memory.log
32,4,point-zipf,off,memory,1.1109,49999992,86.50,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_32MB/point-zipf/off/memory.log
32,4,point-zipf,on,memory,2.1735,49999992,21.00,32.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_32MB/point-zipf/on/memory.log
64,4,point-uniform,off,memory,0.4974,49999992,108.50,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_64MB/point-uniform/off/memory.log
64,4,point-uniform,on,memory,1.5870,49999992,23.50,34.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_64MB/point-uniform/on/memory.log
64,4,point-zipf,off,memory,1.0868,49999992,81.50,34.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_64MB/point-zipf/off/memory.log
64,4,point-zipf,on,memory,2.1272,49999992,20.50,34.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_64MB/point-zipf/on/memory.log
128,4,point-uniform,off,memory,1.7854,49999992,19.00,88.818,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_128MB/point-uniform/off/memory.log
128,4,point-uniform,on,memory,1.7540,49999992,18.50,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_128MB/point-uniform/on/memory.log
128,4,point-zipf,off,memory,2.2723,49999992,17.00,85.996,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_128MB/point-zipf/off/memory.log
128,4,point-zipf,on,memory,2.2723,49999992,16.50,84.787,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_115425/cache_128MB/point-zipf/on/memory.log
