dist,op,cache_total_mb,th_bytes_per_thread,threads,key_count,op_count,throughput_mops,latency_us,p99_us,bandwidth_gbps
uniform,lookup,64,1973790,34,50000000,30000000,2.78409,12.2122,21.00,0
uniform,lookup,128,3947580,34,50000000,30000000,2.78081,12.2267,21.00,0
uniform,lookup,256,7895160,34,50000000,30000000,2.78359,12.2145,21.00,0
uniform,lookup,512,15790320,34,50000000,30000000,2.87195,11.8387,20.00,0
uniform,scan,64,1973790,34,50000000,30000000,1.25677,27.0535,40.50,0
uniform,scan,128,3947580,34,50000000,30000000,1.25308,27.1331,40.50,0
uniform,scan,256,7895160,34,50000000,30000000,1.25424,27.1081,40.50,0
uniform,scan,512,15790320,34,50000000,30000000,1.25478,27.0963,40.50,0
zipf99,lookup,64,1973790,34,50000000,30000000,2.86917,11.8501,20.00,0
zipf99,lookup,128,3947580,34,50000000,30000000,2.82232,12.0468,20.50,0
zipf99,lookup,256,7895160,34,50000000,30000000,2.83127,12.0087,20.50,0
zipf99,lookup,512,15790320,34,50000000,30000000,2.83439,11.9955,20.50,0
zipf99,scan,64,1973790,34,50000000,30000000,1.26624,26.8511,40.00,0
zipf99,scan,128,3947580,34,50000000,30000000,1.27021,26.7673,40.00,0
zipf99,scan,256,7895160,34,50000000,30000000,1.26885,26.7959,40.00,0
zipf99,scan,512,15790320,34,50000000,30000000,1.26996,26.7724,40.00,0
