dist,op,cache_mb,threads,throughput_mops,latency_us,p99_us,bandwidth_gbps
uniform,lookup,64,34,2.82324,12.0429,20.50,0
uniform,lookup,128,34,2.81831,12.064,20.50,0
uniform,lookup,256,34,2.78696,12.1997,20.50,0
uniform,lookup,512,34,2.82002,12.0567,20.50,0
uniform,scan,64,34,1.25619,27.0659,40.50,0
uniform,scan,128,34,1.25523,27.0867,40.50,0
uniform,scan,256,34,1.25539,27.0833,40.50,0
uniform,scan,512,34,1.25438,27.1051,40.50,0
zipf99,lookup,64,34,2.85699,11.9006,20.00,0
zipf99,lookup,128,34,2.85329,11.9161,20.00,0
zipf99,lookup,256,34,2.86083,11.8847,20.00,0
zipf99,lookup,512,34,2.86259,11.8774,20.00,0
zipf99,scan,64,34,1.27232,26.7229,40.00,0
zipf99,scan,128,34,1.27358,26.6965,39.50,0
zipf99,scan,256,34,1.26781,26.8179,40.00,0
zipf99,scan,512,34,1.27279,26.713,40.00,0
uniform,lookup,64,36,2.9229,12.3165,20.50,0
uniform,lookup,128,36,2.95115,12.1986,20.50,0
uniform,lookup,256,36,2.92393,12.3122,20.50,0
uniform,lookup,512,36,2.94341,12.2307,20.50,0
uniform,scan,64,36,1.298,27.7349,41.50,0
uniform,scan,128,36,1.2973,27.75,41.50,0
uniform,scan,256,36,1.29441,27.8119,42.00,0
uniform,scan,512,36,1.30065,27.6784,41.50,0
zipf99,lookup,64,36,2.96663,12.135,20.50,0
zipf99,lookup,128,36,2.9836,12.066,20.00,0
zipf99,lookup,256,36,2.96983,12.1219,20.00,0
zipf99,lookup,512,36,2.96126,12.157,20.00,0
zipf99,scan,64,36,1.30678,27.5486,41.50,0
zipf99,scan,128,36,1.31039,27.4728,41.50,0
zipf99,scan,256,36,1.30903,27.5013,41.50,0
zipf99,scan,512,36,1.30982,27.4847,41.50,0
