workload,cache_label,cache_MB,DEX_nooffload_us,DEX_offload_4mt_us,DART_ref_us,offload_le_DART,DEX_nooffload_source
BTree-Point-Zipf,64MB,64,1.158,1.109,0.884,0,projected
BTree-Point-Zipf,128MB,128,1.136,1.069,0.884,0,projected
BTree-Point-Zipf,256MB,256,1.092,0.996,0.884,0,projected
BTree-Point-Zipf,512MB,512,0.998,0.861,0.884,1,measured
BTree-Point-Zipf,1GB,1024,0.846,0.696,0.884,1,measured
BTree-Point-Zipf,2GB,2048,0.783,0.643,0.884,1,measured
BTree-Point-Zipf,4GB,4096,0.760,0.626,0.884,1,measured
BTree-Point-Uniform,64MB,64,1.157,1.108,0.882,0,projected
BTree-Point-Uniform,128MB,128,1.134,1.067,0.882,0,projected
BTree-Point-Uniform,256MB,256,1.091,0.994,0.882,0,projected
BTree-Point-Uniform,512MB,512,0.995,0.857,0.882,1,measured
BTree-Point-Uniform,1GB,1024,0.843,0.693,0.882,1,measured
BTree-Point-Uniform,2GB,2048,0.781,0.641,0.882,1,measured
BTree-Point-Uniform,4GB,4096,0.758,0.624,0.882,1,measured
BTree-Range-Zipf,64MB,64,1.068,1.065,0.801,0,projected
BTree-Range-Zipf,128MB,128,1.045,1.022,0.801,0,projected
BTree-Range-Zipf,256MB,256,1.007,0.955,0.801,0,projected
BTree-Range-Zipf,512MB,512,0.920,0.823,0.801,0,measured
BTree-Range-Zipf,1GB,1024,0.780,0.665,0.801,1,measured
BTree-Range-Zipf,2GB,2048,0.722,0.616,0.801,1,measured
BTree-Range-Zipf,4GB,4096,0.701,0.599,0.801,1,measured
BTree-Range-Uniform,64MB,64,1.068,1.065,0.807,0,projected
BTree-Range-Uniform,128MB,128,1.045,1.022,0.807,0,projected
BTree-Range-Uniform,256MB,256,1.007,0.955,0.807,0,projected
BTree-Range-Uniform,512MB,512,0.919,0.822,0.807,0,measured
BTree-Range-Uniform,1GB,1024,0.779,0.665,0.807,1,measured
BTree-Range-Uniform,2GB,2048,0.721,0.615,0.807,1,measured
BTree-Range-Uniform,4GB,4096,0.700,0.599,0.807,1,measured
