workload,dist,offload,memthreads,cache_mb,ops_total,total_miss,inner_miss,leaf_miss,misses_per_op,inner_per_op,leaf_per_op
lookup,uniform,off,2,64,48633085,330249228,281622341,48626887,6.7906,5.7908,0.9999
lookup,uniform,off,2,128,49477430,280184162,230723426,49460736,5.6629,4.6632,0.9997
lookup,uniform,off,2,256,49444775,223291753,173894923,49396830,4.5160,3.5170,0.9990
lookup,uniform,off,2,512,48728162,162946321,114372889,48573432,3.3440,2.3472,0.9968
lookup,uniform,off,6,64,48636887,330268093,281637397,48630696,6.7905,5.7906,0.9999
lookup,uniform,off,6,128,49431775,279923492,230508414,49415078,5.6628,4.6632,0.9997
lookup,uniform,off,6,256,49043656,221482518,172486292,48996226,4.5160,3.5170,0.9990
lookup,uniform,off,6,512,49576919,165780256,116361037,49419219,3.3439,2.3471,0.9968
lookup,uniform,on,2,64,48931939,162959869,162959815,54,3.3303,3.3303,0.0000
lookup,uniform,on,2,128,49362812,104701300,104701044,256,2.1211,2.1211,0.0000
lookup,uniform,on,2,256,49683588,49954211,49924529,29682,1.0054,1.0048,0.0006
lookup,uniform,on,2,512,49619664,49531720,46641103,2890617,0.9982,0.9400,0.0583
lookup,uniform,on,6,64,48849222,162690149,162690089,60,3.3305,3.3305,0.0000
lookup,uniform,on,6,128,49230061,104432003,104431756,247,2.1213,2.1213,0.0000
lookup,uniform,on,6,256,49451311,49722071,49691842,30229,1.0055,1.0049,0.0006
lookup,uniform,on,6,512,49325017,49236800,46375169,2861631,0.9982,0.9402,0.0580
lookup,zipfian,off,2,64,48630221,203086555,167629009,35457546,4.1761,3.4470,0.7291
lookup,zipfian,off,2,128,49496390,158623575,125328619,33294956,3.2048,2.5321,0.6727
lookup,zipfian,off,2,256,49099228,114164106,84179314,29984792,2.3252,1.7145,0.6107
lookup,zipfian,off,2,512,48891963,75318230,48981562,26336668,1.5405,1.0018,0.5387
lookup,zipfian,off,6,64,48635791,203113086,167642039,35471047,4.1762,3.4469,0.7293
lookup,zipfian,off,6,128,48783999,156305623,123490804,32814819,3.2040,2.5314,0.6727
lookup,zipfian,off,6,256,49140840,114257604,84252289,30005315,2.3251,1.7145,0.6106
lookup,zipfian,off,6,512,49046002,75544189,49137793,26406396,1.5403,1.0019,0.5384
lookup,zipfian,on,2,64,48933688,103270271,102675349,594922,2.1104,2.0983,0.0122
lookup,zipfian,on,2,128,49301814,62528221,61616844,911377,1.2683,1.2498,0.0185
lookup,zipfian,on,2,256,49511445,31047334,27749381,3297953,0.6271,0.5605,0.0666
lookup,zipfian,on,2,512,49543355,26755682,20942550,5813132,0.5400,0.4227,0.1173
lookup,zipfian,on,6,64,48892088,103151097,102662825,488272,2.1098,2.0998,0.0100
lookup,zipfian,on,6,128,49231647,62328563,61531525,797038,1.2660,1.2498,0.0162
lookup,zipfian,on,6,256,49060292,30619239,27493942,3125297,0.6241,0.5604,0.0637
lookup,zipfian,on,6,512,49239053,26602569,20807344,5795225,0.5403,0.4226,0.1177
range,uniform,off,2,64,22722404,507827558,312185229,195642329,22.3492,13.7391,8.6101
range,uniform,off,2,128,24645493,516186279,304156278,212030001,20.9444,12.3413,8.6032
range,uniform,off,2,256,26234548,504153710,278897760,225255950,19.2172,10.6309,8.5862
range,uniform,off,2,512,30719759,518599315,256272362,262326953,16.8816,8.3423,8.5394
range,uniform,off,6,64,23022806,514530702,316302130,198228572,22.3487,13.7386,8.6101
range,uniform,off,6,128,24441927,511925953,301647699,210278254,20.9446,12.3414,8.6032
range,uniform,off,6,256,26166273,502858391,278186889,224671502,19.2178,10.6315,8.5863
range,uniform,off,6,512,30592179,516440897,255205987,261234910,16.8815,8.3422,8.5393
range,uniform,on,2,64,48513080,396823926,330125778,66698148,8.1797,6.8049,1.3748
range,uniform,on,2,128,49132388,342802551,275252551,67550000,6.9771,5.6023,1.3749
range,uniform,on,2,256,49494625,281332170,213284739,68047431,5.6841,4.3093,1.3748
range,uniform,on,2,512,49394399,210526212,142616312,67909900,4.2621,2.8873,1.3749
range,uniform,on,6,64,48546993,397103882,330359266,66744616,8.1798,6.8049,1.3748
range,uniform,on,6,128,49121974,342727798,275191960,67535838,6.9771,5.6022,1.3749
range,uniform,on,6,256,49478001,281250095,213225529,68024566,5.6843,4.3095,1.3748
range,uniform,on,6,512,49348753,210319247,142471866,67847381,4.2619,2.8870,1.3749
range,zipfian,off,2,64,33067520,505975944,289381340,216594604,15.3013,8.7512,6.5501
range,zipfian,off,2,128,36758156,493636778,268014379,225622399,13.4293,7.2913,6.1380
range,zipfian,off,2,256,42909294,491931147,247871786,244059361,11.4644,5.7766,5.6878
range,zipfian,off,2,512,49487925,459488084,203908728,255579356,9.2849,4.1204,5.1645
range,zipfian,off,6,64,32844245,502906521,287621434,215285087,15.3119,8.7571,6.5547
range,zipfian,off,6,128,36873570,495193000,268913557,226279443,13.4295,7.2929,6.1366
range,zipfian,off,6,256,42532200,487539316,245642501,241896815,11.4628,5.7754,5.6874
range,zipfian,off,6,512,49604863,460494647,204364707,256129940,9.2833,4.1199,5.1634
range,zipfian,on,2,64,48235221,256865173,197879214,58985959,5.3253,4.1024,1.2229
range,zipfian,on,2,128,49024852,207409631,151722932,55686699,4.2307,3.0948,1.1359
range,zipfian,on,2,256,49237780,157446010,105806975,51639035,3.1977,2.1489,1.0488
range,zipfian,on,2,512,49148048,108946432,62492166,46454266,2.2167,1.2715,0.9452
range,zipfian,on,6,64,48526509,259347798,199187657,60160141,5.3445,4.1047,1.2397
range,zipfian,on,6,128,49029871,207388378,151718484,55669894,4.2298,3.0944,1.1354
range,zipfian,on,6,256,49249816,157452119,105837548,51614571,3.1970,2.1490,1.0480
range,zipfian,on,6,512,49139048,108943993,62488341,46455652,2.2171,1.2717,0.9454
