workload,dist,offload,memthreads,cache_mb,throughput_mops,p99_us,miss_rate_pct,leaf_miss_rate_pct,inner_miss_rate_pct,ops_remote_pct,direct_read_per_op,direct_read_bytes_per_op,offload_rpc_per_op,total_remote_ops_per_op,offload_traffic_frac
lookup,uniform,off,2,64,1.15062,45.00,32.1737,4.7374,27.4364,99.99,6.79071,3476.8,0,6.7907,0.0000
lookup,uniform,off,2,128,1.35139,40.00,26.9042,4.7494,22.1548,99.97,5.66291,2899.39,0,5.6629,0.0000
lookup,uniform,off,2,256,1.71078,34.00,21.4827,4.7524,16.7302,99.90,4.516,2312.18,0,4.5160,0.0000
lookup,uniform,off,2,512,2.24509,28.50,15.9166,4.7446,11.1719,99.69,3.34399,1712.12,0,3.3440,0.0000
lookup,zipfian,off,2,64,1.82938,43.50,19.7594,3.4499,16.3096,72.96,4.17619,2138.18,0,4.1762,0.0000
lookup,zipfian,off,2,128,2.30573,38.50,15.2229,3.1953,12.0276,67.31,3.20478,1640.83,0,3.2048,0.0000
lookup,zipfian,off,2,256,3.10771,32.50,11.0614,2.9052,8.1561,61.11,2.32518,1190.49,0,2.3252,0.0000
lookup,zipfian,off,2,512,4.53894,26.00,7.3332,2.5642,4.7690,53.90,1.5405,788.738,0,1.5405,0.0000
range,uniform,off,2,64,0.3664,117.00,12.3384,4.7534,7.5850,100.00,22.3493,11442.8,0,22.3493,0.0000
range,uniform,off,2,128,0.39744,108.50,11.5684,4.7518,6.8165,100.00,20.9445,10723.6,0,20.9445,0.0000
range,uniform,off,2,256,0.42304,104.50,10.6172,4.7438,5.8734,100.00,19.2172,9839.19,0,19.2172,0.0000
range,uniform,off,2,512,0.495392,93.50,9.3281,4.7185,4.6096,100.00,16.8816,8643.39,0,16.8816,0.0000
range,zipfian,off,2,64,0.533248,113.00,8.3970,3.5945,4.8025,82.16,15.3014,7834.27,0,15.3014,0.0000
range,zipfian,off,2,128,0.592768,108.00,7.3819,3.3740,4.0079,77.52,13.4294,6875.81,0,13.4294,0.0000
range,zipfian,off,2,256,0.691968,100.50,6.3065,3.1288,3.1777,72.56,11.4645,5869.8,0,11.4645,0.0000
range,zipfian,off,2,512,0.848704,91.00,5.1093,2.8419,2.2674,67.07,9.28486,4753.84,0,9.2849,0.0000
lookup,uniform,on,2,64,1.91283,30.50,18.4237,0.0000,18.4237,100.00,2.33038,1226.13,1,3.3304,0.3003
lookup,uniform,on,2,128,2.49955,25.00,11.7573,0.0000,11.7573,100.00,1.12107,606.981,1,2.1211,0.4715
lookup,uniform,on,2,256,2.97664,26.50,5.5497,0.0033,5.5464,100.00,0.00545532,35.7928,0.999992,1.0054,0.9946
lookup,uniform,on,2,512,3.32227,22.50,5.3100,0.3099,5.0001,99.74,0.000814737,33.3318,0.997413,0.9982,0.9992
lookup,zipfian,on,2,64,2.90982,28.50,11.1558,0.0643,11.0915,81.16,1.29882,691.767,0.811617,2.1104,0.3846
lookup,zipfian,on,2,128,4.0137,23.00,6.6647,0.0971,6.5676,72.01,0.548211,304.443,0.72007,1.2683,0.5678
lookup,zipfian,on,2,256,5.36352,20.50,3.2118,0.3412,2.8707,61.93,0.00778965,24.4247,0.619284,0.6271,0.9876
lookup,zipfian,on,2,512,6.60438,16.50,2.6922,0.5849,2.1073,53.91,0.000932335,18.2681,0.539113,0.5400,0.9983
range,uniform,on,2,64,0.81728,78.00,28.2318,4.7452,23.4866,100.00,8.17981,3927.46,1.37485,9.5547,0.1439
range,uniform,on,2,128,0.914976,72.50,24.1256,4.7540,19.3716,100.00,6.97716,3311.72,1.37486,8.3520,0.1646
range,uniform,on,2,256,1.07491,65.00,19.6704,4.7578,14.9126,100.00,5.68411,2649.69,1.37484,7.0590,0.1948
range,uniform,on,2,512,1.32582,56.00,14.7552,4.7596,9.9956,100.00,4.26215,1921.65,1.37485,5.6370,0.2439
range,zipfian,on,2,64,1.17414,74.00,10.8994,2.5029,8.3965,89.80,5.32532,2494.33,1.22288,6.5482,0.1868
range,zipfian,on,2,128,1.37936,68.50,7.3992,1.9866,5.4126,83.57,4.23073,1953.2,1.13589,5.3666,0.2117
range,zipfian,on,2,256,1.68813,61.00,4.7527,1.5588,3.1939,76.79,3.19767,1440.62,1.04877,4.2464,0.2470
range,zipfian,on,2,512,2.15059,52.00,2.8136,1.1997,1.6139,69.40,2.2167,957.43,0.94519,3.1619,0.2989
lookup,uniform,off,6,64,1.14179,45.50,32.1710,4.7371,27.4339,99.99,6.79057,3476.73,0,6.7906,0.0000
