workload,dist,offload,cache_mb,throughput_mops,mean_us,p50_us,p99_us,rdma_read_per_op,rpc_per_op
lookup,uniform,off,64,1.28963,27.87,28.00,45.50,6.79061,0
lookup,uniform,off,128,1.51132,23.77,24.00,40.50,5.663,0
lookup,uniform,off,256,1.88363,19.07,19.50,35.00,4.51609,0
lookup,uniform,off,512,2.52439,14.22,14.00,28.50,3.34399,0
lookup,uniform,on,64,2.17145,16.53,16.50,30.50,2.33046,1
lookup,uniform,on,128,3.0011,11.95,11.50,24.00,1.12134,1
lookup,uniform,on,256,4.74577,7.54,7.50,14.50,0.00557254,0.999992
lookup,uniform,on,512,4.93261,7.26,7.00,14.00,0.000830593,0.99741
lookup,zipfian,off,64,2.04361,17.57,20.50,44.00,4.17571,0
lookup,zipfian,off,128,2.58257,13.90,14.50,39.00,3.20436,0
lookup,zipfian,off,256,3.4709,10.34,7.50,33.00,2.32439,0
lookup,zipfian,off,512,5.05573,7.09,4.50,26.50,1.54033,0
lookup,zipfian,on,64,3.29875,10.87,10.50,28.50,1.29875,0.817341
lookup,zipfian,on,128,4.80035,7.47,7.00,22.00,0.548534,0.719185
lookup,zipfian,on,256,7.60673,4.71,6.00,13.50,0.00788555,0.616452
lookup,zipfian,on,512,8.66128,4.14,5.50,12.50,0.000966478,0.54032
range,uniform,off,64,0.420732,85.50,86.00,114.50,22.3488,0
range,uniform,off,128,0.444924,80.86,82.00,109.50,20.9445,0
range,uniform,off,256,0.483552,74.39,76.00,104.00,19.2168,0
range,uniform,off,512,0.555156,64.79,66.50,95.00,16.8813,0
range,uniform,on,64,0.902844,39.82,36.00,79.00,8.18016,1.37483
range,uniform,on,128,1.01092,35.56,32.00,74.00,6.97694,1.37484
range,uniform,on,256,1.18411,30.35,27.00,66.50,5.68453,1.37485
range,uniform,on,512,1.45642,24.65,21.50,58.00,4.26228,1.37485
range,zipfian,off,64,0.596052,60.34,76.00,113.50,15.307,0
range,zipfian,off,128,0.672084,53.51,67.00,108.00,13.428,0
range,zipfian,off,256,0.779688,46.12,52.50,101.00,11.4648,0
range,zipfian,off,512,0.94842,37.91,37.50,92.50,9.28503,0
range,zipfian,on,64,1.291,27.84,28.50,76.00,5.32452,1.2207
range,zipfian,on,128,1.52564,23.55,23.00,70.00,4.22646,1.13268
range,zipfian,on,256,1.85648,19.35,17.50,62.50,3.20466,1.05471
range,zipfian,on,512,2.37096,15.14,12.00,53.00,2.21671,0.945082
