workload,dist,offload,memthreads,cache_mb,throughput_mops,p99_us,rdma_read_per_op,rpc_per_op
lookup,uniform,off,2,64,1.17475,44.50,6.79068,0
lookup,uniform,off,2,128,1.37885,39.50,5.66288,0
lookup,uniform,off,2,256,1.70998,34.00,4.51615,0
lookup,uniform,off,2,512,2.28112,28.00,3.34407,0
lookup,zipfian,off,2,64,1.86531,43.00,4.17544,0
lookup,zipfian,off,2,128,2.35398,37.50,3.20523,0
lookup,zipfian,off,2,256,3.16992,32.00,2.32465,0
lookup,zipfian,off,2,512,4.59296,25.50,1.54057,0
range,uniform,off,2,64,0.38224,113.00,22.3495,0
range,uniform,off,2,128,0.403936,107.00,20.9452,0
range,uniform,off,2,256,0.440384,100.00,19.2176,0
range,uniform,off,2,512,0.502112,92.00,16.8817,0
range,zipfian,off,2,64,0.544928,111.00,15.3024,0
range,zipfian,off,2,128,0.611168,105.00,13.4309,0
range,zipfian,off,2,256,0.7064,98.00,11.4621,0
range,zipfian,off,2,512,0.862592,89.00,9.28702,0
lookup,uniform,on,2,64,1.94125,30.00,2.33061,1
lookup,uniform,on,2,128,2.52045,25.00,1.12137,1
lookup,uniform,on,2,256,2.97904,27.00,0.00545374,0.999993
lookup,uniform,on,2,512,3.32925,22.50,0.00081171,0.997472
lookup,zipfian,on,2,64,2.94822,28.50,1.29928,0.80843
lookup,zipfian,on,2,128,4.04566,23.00,0.548503,0.720153
lookup,zipfian,on,2,256,5.36867,21.00,0.00772413,0.619408
lookup,zipfian,on,2,512,6.60314,17.00,0.000935889,0.541229
range,uniform,on,2,64,0.832544,76.50,8.17981,1.37484
range,uniform,on,2,128,0.933248,71.00,6.97673,1.37485
range,uniform,on,2,256,1.0913,64.00,5.68439,1.37485
range,uniform,on,2,512,1.34042,55.50,4.26208,1.37485
range,zipfian,on,2,64,1.18458,73.50,5.33801,1.23464
range,zipfian,on,2,128,1.40554,67.50,4.22227,1.12755
range,zipfian,on,2,256,1.70723,60.00,3.20442,1.05533
range,zipfian,on,2,512,2.18291,51.00,2.21747,0.94575
lookup,uniform,off,4,64,1.17738,44.00,6.7906,0
lookup,uniform,off,4,128,1.3753,39.50,5.66306,0
lookup,uniform,off,4,256,1.70848,34.00,4.51617,0
lookup,uniform,off,4,512,2.28621,28.00,3.34407,0
lookup,zipfian,off,4,64,1.86486,43.00,4.1767,0
lookup,zipfian,off,4,128,2.35459,37.50,3.20556,0
lookup,zipfian,off,4,256,3.16147,32.00,2.32464,0
lookup,zipfian,off,4,512,4.59162,25.50,1.54056,0
range,uniform,off,4,64,0.382912,112.50,22.3495,0
range,uniform,off,4,128,0.404032,107.00,20.9452,0
range,uniform,off,4,256,0.440608,100.00,19.2179,0
range,uniform,off,4,512,0.504032,92.00,16.8815,0
range,zipfian,off,4,64,0.544128,111.00,15.3098,0
range,zipfian,off,4,128,0.610848,105.00,13.4284,0
range,zipfian,off,4,256,0.705792,98.50,11.4623,0
range,zipfian,off,4,512,0.862464,89.50,9.28301,0
lookup,uniform,on,4,64,1.9985,29.50,2.33042,1
lookup,uniform,on,4,128,2.77917,23.50,1.12121,1
lookup,uniform,on,4,256,4.46282,14.00,0.00547593,0.999995
lookup,uniform,on,4,512,4.62115,13.50,0.000812894,0.997429
lookup,zipfian,on,4,64,3.04992,28.00,1.29872,0.808146
lookup,zipfian,on,4,128,4.44685,21.50,0.548265,0.719877
lookup,zipfian,on,4,256,7.14678,13.00,0.00775688,0.618003
lookup,zipfian,on,4,512,8.10608,12.00,0.000933403,0.54065
range,uniform,on,4,64,0.830688,76.50,8.17959,1.37484
range,uniform,on,4,128,0.930432,71.00,6.97696,1.37485
range,uniform,on,4,256,1.09066,64.00,5.68424,1.37485
range,uniform,on,4,512,1.34787,55.00,4.26215,1.37485
range,zipfian,on,4,64,1.17507,74.00,5.35209,1.24863
range,zipfian,on,4,128,1.40429,67.50,4.22474,1.13043
range,zipfian,on,4,256,1.71882,60.00,3.19726,1.04814
range,zipfian,on,4,512,2.1921,51.00,2.21614,0.944291
lookup,uniform,off,6,64,1.16669,44.50,6.79038,0
lookup,uniform,off,6,128,1.36595,39.50,5.66263,0
lookup,uniform,off,6,256,1.6937,34.00,4.51606,0
lookup,uniform,off,6,512,2.26714,28.00,3.34399,0
lookup,zipfian,off,6,64,1.84787,43.00,4.17551,0
lookup,zipfian,off,6,128,2.33347,38.00,3.20459,0
lookup,zipfian,off,6,256,3.14237,32.00,2.32418,0
lookup,zipfian,off,6,512,4.56077,26.00,1.54,0
range,uniform,off,6,64,0.378944,114.00,22.3498,0
range,uniform,off,6,128,0.40192,107.50,20.945,0
range,uniform,off,6,256,0.43664,101.00,19.2183,0
range,uniform,off,6,512,0.499392,92.50,16.8814,0
range,zipfian,off,6,64,0.540448,112.00,15.3045,0
range,zipfian,off,6,128,0.606336,106.00,13.4297,0
range,zipfian,off,6,256,0.702272,99.00,11.4624,0
range,zipfian,off,6,512,0.85488,90.00,9.28358,0
lookup,uniform,on,6,64,1.9863,29.50,2.33036,1
lookup,uniform,on,6,128,2.78403,23.50,1.12133,1
lookup,uniform,on,6,256,4.73498,13.50,0.00549702,0.99999
lookup,uniform,on,6,512,4.81773,13.00,0.00081093,0.997461
lookup,zipfian,on,6,64,3.04678,28.00,1.29886,0.810692
lookup,zipfian,on,6,128,4.48765,21.50,0.548477,0.722665
lookup,zipfian,on,6,256,7.38387,12.50,0.00783157,0.6189
lookup,zipfian,on,6,512,8.30474,12.00,0.000943858,0.540156
range,uniform,on,6,64,0.82064,77.50,8.18001,1.37485
range,uniform,on,6,128,0.921408,72.00,6.9769,1.37485
range,uniform,on,6,256,1.076,64.50,5.68434,1.37486
range,uniform,on,6,512,1.33603,55.50,4.2621,1.37485
range,zipfian,on,6,64,1.17142,74.50,5.33306,1.22932
range,zipfian,on,6,128,NA,NA,NA,NA
range,zipfian,on,6,256,NA,NA,NA,NA
range,zipfian,on,6,512,NA,NA,NA,NA
lookup,uniform,off,8,64,NA,NA,NA,NA
lookup,uniform,off,8,128,NA,NA,NA,NA
lookup,uniform,off,8,256,NA,NA,NA,NA
lookup,uniform,off,8,512,NA,NA,NA,NA
lookup,zipfian,off,8,64,NA,NA,NA,NA
lookup,zipfian,off,8,128,NA,NA,NA,NA
lookup,zipfian,off,8,256,NA,NA,NA,NA
lookup,zipfian,off,8,512,NA,NA,NA,NA
range,uniform,off,8,64,NA,NA,NA,NA
range,uniform,off,8,128,NA,NA,NA,NA
range,uniform,off,8,256,NA,NA,NA,NA
range,uniform,off,8,512,NA,NA,NA,NA
range,zipfian,off,8,64,NA,NA,NA,NA
range,zipfian,off,8,128,NA,NA,NA,NA
range,zipfian,off,8,256,NA,NA,NA,NA
range,zipfian,off,8,512,NA,NA,NA,NA
lookup,uniform,on,8,64,NA,NA,NA,NA
lookup,uniform,on,8,128,NA,NA,NA,NA
lookup,uniform,on,8,256,NA,NA,NA,NA
lookup,uniform,on,8,512,NA,NA,NA,NA
lookup,zipfian,on,8,64,NA,NA,NA,NA
lookup,zipfian,on,8,128,NA,NA,NA,NA
lookup,zipfian,on,8,256,NA,NA,NA,NA
lookup,zipfian,on,8,512,NA,NA,NA,NA
range,uniform,on,8,64,NA,NA,NA,NA
range,uniform,on,8,128,NA,NA,NA,NA
range,uniform,on,8,256,NA,NA,NA,NA
range,uniform,on,8,512,NA,NA,NA,NA
range,zipfian,on,8,64,NA,NA,NA,NA
range,zipfian,on,8,128,NA,NA,NA,NA
range,zipfian,on,8,256,NA,NA,NA,NA
range,zipfian,on,8,512,NA,NA,NA,NA
