workload,cache_MB,DEX_nooffload_us,DEX_offload_us,DART_ref_us,offload_le_DART
BTree-Point-Zipf,64,2.89,2.77,2.21,0
BTree-Point-Zipf,128,2.84,2.67,2.21,0
BTree-Point-Zipf,256,2.73,2.49,2.21,0
BTree-Point-Zipf,512,2.50,2.15,2.21,1
BTree-Point-Zipf,1024,2.11,1.74,2.21,1
BTree-Point-Zipf,2048,1.96,1.61,2.21,1
BTree-Point-Zipf,4096,1.90,1.56,2.21,1
BTree-Point-Uniform,64,2.89,2.77,2.21,0
BTree-Point-Uniform,128,2.83,2.67,2.21,0
BTree-Point-Uniform,256,2.73,2.48,2.21,0
BTree-Point-Uniform,512,2.49,2.14,2.21,1
BTree-Point-Uniform,1024,2.11,1.73,2.21,1
BTree-Point-Uniform,2048,1.95,1.60,2.21,1
BTree-Point-Uniform,4096,1.90,1.56,2.21,1
BTree-Range-Zipf,64,14.10,14.06,10.57,0
BTree-Range-Zipf,128,13.79,13.49,10.57,0
BTree-Range-Zipf,256,13.29,12.61,10.57,0
BTree-Range-Zipf,512,12.14,10.86,10.57,0
BTree-Range-Zipf,1024,10.30,8.78,10.57,1
BTree-Range-Zipf,2048,9.53,8.13,10.57,1
BTree-Range-Zipf,4096,9.25,7.91,10.57,1
BTree-Range-Uniform,64,14.10,14.06,10.65,0
BTree-Range-Uniform,128,13.79,13.49,10.65,0
BTree-Range-Uniform,256,13.29,12.61,10.65,0
BTree-Range-Uniform,512,12.13,10.85,10.65,0
BTree-Range-Uniform,1024,10.28,8.78,10.65,1
BTree-Range-Uniform,2048,9.52,8.12,10.65,1
BTree-Range-Uniform,4096,9.24,7.91,10.65,1
